ID,Sentence Ol Chiki,Sentence Latin,Meaning,Usage,Category,Audio URL,Image URL,Pronunciation,Order Index,Animation URL,Order,Is Active,Theme Color,Hero Media,Blocks,Tracing,Updated At
s57,ᱱᱚᱶᱟ ᱫᱚ ᱤᱧᱟᱜ ᱠᱩᱥᱤ ᱠᱟᱱᱟ,Nowa do injaak kusi kana,It's my pleasure,,polite,,,No-wa do in-jaag ku-si ka-na,0,,52,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nIt's my pleasure""}]",,2026-05-25T05:34:31.589+00:00
s58,ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱚᱶᱟ ᱮᱢᱟᱧ ᱢᱮ,Daya kate nowa emanj me,Please give me this,,polite,,,Da-ya ka-te no-wa e-manj me,0,,53,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nPlease give me this""}]",,2026-05-25T05:34:32.028+00:00
s59,"ᱡᱚᱦᱟᱨ, ᱢᱟ ᱛᱚᱵᱮ ᱤᱧᱤᱧ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ","Johar, ma tobe injinj senog kana","Goodbye, I am leaving now",,polite,,,"Jo-har, ma to-be in-jinj se-nog ka-na",0,,54,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nGoodbye, I am leaving now""}]",,2026-05-25T05:34:32.455+00:00
s60,ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱟᱥᱮ ᱟᱸᱡᱚᱢ ᱢᱮ,Daya kate nase anjom me,Please listen for a moment,,polite,,,Da-ya ka-te na-se an-jom me,0,,55,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nPlease listen for a moment""}]",,2026-05-25T05:34:32.648+00:00
s61,"ᱟᱞᱚᱢ ᱪᱤᱱᱛᱟᱹᱭᱟ, ᱡᱷᱚᱛᱚᱣᱟᱜ ᱴᱷᱤᱠ ᱜᱮᱭᱟ","Alom cintaya, jhotowag thik geya","Don't worry, everything is okay",,polite,,,"A-lom chin-ta-ya, jho-to-wag thik ge-ya",0,,56,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nDon't worry, everything is okay""}]",,2026-05-25T05:34:32.751+00:00
s62,ᱟᱢᱟᱜ ᱫᱤᱱ ᱥᱟᱹᱜᱩᱱ ᱠᱚᱜ ᱢᱟ!,Amaak din sagun kog ma!,Have a good day!,,polite,,,A-maag din sa-gun kog ma!,0,,57,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nHave a good day!""}]",,2026-05-25T05:34:33.150+00:00
s63,ᱟᱢᱟᱜ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱨᱦᱟᱣ,Amaak goro lagid sarhaw,Thank you for your help,,polite,,,A-maag go-ro la-gid sar-haw,0,,58,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nThank you for your help""}]",,2026-05-25T05:34:33.360+00:00
s64,"ᱡᱚᱦᱟᱨ, ᱜᱟᱯᱟ ᱵᱚᱱ ᱧᱟᱯᱟᱢᱼᱟ","Johar, gapa bon njapam-a","Goodbye, see you tomorrow",,polite,,,"Jo-har, ga-pa bon nya-pam-a",0,,59,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nGoodbye, see you tomorrow""}]",,2026-05-25T05:34:33.473+00:00
s65,ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱤᱧ ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ,Daya kate inj ika kanj me,Please forgive me,,polite,,,Da-ya ka-te inj i-ka kanj me,0,,60,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nPlease forgive me""}]",,2026-05-25T05:34:33.673+00:00
s66,ᱱᱤᱛᱚᱜ ᱫᱚ ᱮᱭᱟᱭ ᱵᱟᱡᱟᱣ ᱠᱟᱱᱟ,Nitog do eyay bajaw kana,It is seven o'clock now,,time_weather,,,Ni-tog do ey-ay ba-jaw ka-na,0,,66,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nIt is seven o'clock now""}]",,2026-05-25T05:34:33.789+00:00
s69,ᱨᱤᱢᱤᱞ ᱮᱫᱼᱟᱭ ᱥᱮᱨᱢᱟ ᱨᱮ,Rimil ed-ay serma re,The sky is cloudy,,time_weather,,,Ri-mil ed-ay ser-ma re,0,,69,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nThe sky is cloudy""}]",,2026-05-25T05:34:33.890+00:00
s70,ᱜᱟᱯᱟ ᱫᱟᱜ ᱮ ᱡᱟᱹᱲᱤᱭᱟ ᱥᱮ?,Gapa dag e jariya se?,Will it rain tomorrow?,,time_weather,,,Ga-pa dag e ja-ri-ya se?,0,,70,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nWill it rain tomorrow?""}]",,2026-05-25T05:34:33.999+00:00
s71,ᱥᱤᱛᱩᱝ ᱨᱤᱛᱩ ᱫᱚ ᱤᱧᱟᱜ ᱠᱩᱥᱤ ᱨᱤᱛᱩ ᱠᱟᱱᱟ,Situng ritu do injaak kusi ritu kana,Summer is my favorite season,,time_weather,,,Si-tung ri-tu do in-jaag ku-si ri-tu ka-na,0,,71,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nSummer is my favorite season""}]",,2026-05-25T05:34:34.124+00:00
s72,ᱨᱟᱵᱟᱝ ᱨᱤᱛᱩ ᱨᱮ ᱟᱹᱰᱤ ᱨᱟᱵᱟᱝᱼᱟ,Rabang ritu re adi rabang-a,It is very cold in winter,,time_weather,,,Ra-bang ri-tu re a-di ra-bang-a,0,,72,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nIt is very cold in winter""}]",,2026-05-25T05:34:34.314+00:00
s73,ᱛᱮᱦᱮᱧ ᱫᱚ ᱚᱠᱟ ᱢᱟᱦᱟ ᱠᱟᱱᱟ?,Tehenj do oka maha kana?,What day is today?,,time_weather,,,Te-henj do o-ka ma-ha ka-na?,0,,73,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nWhat day is today?""}]",,2026-05-25T05:34:34.420+00:00
s74,ᱛᱮᱦᱮᱧ ᱫᱚ ᱥᱤᱸᱜᱮ ᱢᱟᱦᱟ ᱠᱟᱱᱟ,Tehenj do Singe maha kana,Today is Sunday,,time_weather,,,Te-henj do Sin-ge ma-ha ka-na,0,,74,true,,,,,2026-05-20T17:25:00.923+00:00
s75,ᱱᱤᱛᱚᱜ ᱥᱮᱛᱟᱜ ᱠᱟᱱᱟ,Nitog setag kana,Now it is morning,,time_weather,,,Ni-tog se-tag ka-na,0,,75,true,,,,,2026-05-20T17:25:01.145+00:00
s76,ᱟᱹᱭᱩᱵ ᱵᱮᱲᱟ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ,Ayub bera adi napay geya,The evening time is very pleasant,,time_weather,,,A-yub be-ra a-di na-pay ge-ya,0,,76,true,,,,,2026-05-20T17:25:01.288+00:00
s77,ᱧᱤᱫᱟᱹ ᱵᱮᱲᱟ ᱤᱯᱤᱞ ᱠᱚ ᱡᱩᱞᱩᱜᱼᱟ,Njida bera ipil ko julug-a,Stars shine at night,,time_weather,,,Nyi-da be-ra i-pil ko ju-lug-a,0,,77,true,,,,,2026-05-20T17:25:01.413+00:00
s78,ᱱᱚᱶᱟ ᱥᱮᱨᱢᱟ ᱟᱹᱰᱤ ᱞᱚᱜᱚᱱ ᱯᱟᱨᱚᱢ ᱮᱱᱟ,Nowa serma adi logon parom ena,This year passed very quickly,,time_weather,,,No-wa ser-ma a-di lo-gon pa-rom e-na,0,,78,true,,,,,2026-05-20T17:25:01.556+00:00
s79,ᱜᱟᱯᱟ ᱥᱮᱛᱟᱜ ᱟᱞᱟᱝ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱼᱟ,Gapa setag alang lang njapam-a,We will meet tomorrow morning,,time_weather,,,Ga-pa se-tag a-lang lang nya-pam-a,0,,79,true,,,,,2026-05-20T17:25:01.704+00:00
s80,ᱛᱮᱦᱮᱧ ᱫᱚ ᱟᱹᱰᱤ ᱞᱚᱞᱚ ᱜᱮᱭᱟ,Tehenj do adi lolo geya,Today is very warm,,time_weather,,,Te-henj do a-di lo-lo ge-ya,0,,80,true,,,,,2026-05-20T17:25:01.836+00:00
