Lesson ID,Lesson Title,Lesson Category,Block Order,Block Type,Ol Chiki,Latin,Audio URL,Image URL,Emotion,Story Arc,Growth Value,Character Goal,Image Direction,Body Language,Learning Moment
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,0,text,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?,Amaak nyutum ced? – What is your name?,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun walks along a winding path in the beautiful green village, pointing with curiosity toward the horizon. Show only the speaking character, never show both speakers in the same frame.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,1,text,ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱱᱛᱷᱟᱞ,Injaak nyutum do Santhal – My name is Santhal,,,Friendship,Exploring Village,Confidence,Learn something new,"a young Santhal child classmate sits peacefully under a large shady tree, looking out over the village with a happy smile. Show only the speaking character, never show both speakers in the same frame.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","a young Santhal child classmate showing warmth, inclusion, and building a strong social bond."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,2,text,ᱟᱢ ᱫᱚ ᱚᱠᱟᱛᱮᱢ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ?,Am do okatem chalag kana? – Where are you going?,,,Kindness,Exploring Nature,Learning,Explore nature,"Olitun stands beside a traditional home, pointing happily at a colorful detail on the hand-painted wall. Show only the speaking character, never show both speakers in the same frame.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","Olitun putting empathy into action, helping classmates or respecting elders."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,3,text,ᱟᱢ ᱫᱚ ᱚᱠᱟᱨᱮᱢ ᱛᱟᱦᱮᱸᱱᱟ?,Am do okarem tahena? – Where do you live?,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun kneels in a patch of wild flowers, looking at the colorful petals with curiosity. Show only the speaking character, never show both speakers in the same frame.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,4,text,ᱤᱧ ᱫᱚ ᱱᱚᱸᱰᱮᱧ ᱛᱟᱦᱮᱸᱱᱟ,In do nondenj tahena – I live here,,,Friendship,Exploring Village,Confidence,Learn something new,"a young Santhal child classmate walks along a winding path in the beautiful green village, pointing with curiosity toward the horizon. Show only the speaking character, never show both speakers in the same frame.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","a young Santhal child classmate showing warmth, inclusion, and building a strong social bond."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,5,text,ᱤᱧ ᱫᱚᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ,Inj donj chalag kana – I am going,,,Kindness,Exploring Nature,Learning,Explore nature,"a young Santhal child classmate sits peacefully under a large shady tree, looking out over the village with a happy smile. Show only the speaking character, never show both speakers in the same frame.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","a young Santhal child classmate putting empathy into action, helping classmates or respecting elders."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,6,text,ᱟᱢ ᱫᱚ ᱚᱠᱟᱭ ᱠᱟᱱᱟᱢ?,Am do okoy kanam? – Who are you?,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun stands beside a traditional home, pointing happily at a colorful detail on the hand-painted wall. Show only the speaking character, never show both speakers in the same frame.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,7,text,ᱩᱱᱤ ᱫᱚ ᱤᱧᱤᱡ ᱵᱚᱠᱚᱧ ᱠᱟᱱᱟᱭ,Uni do injij bokonj kanay – He is my younger brother,,,Friendship,Exploring Village,Confidence,Learn something new,"a young Santhal child classmate gently guiding a younger brother by the hand, pointing out a colorful butterfly in the garden. Show only the speaking character, never show both speakers in the same frame.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","a young Santhal child classmate showing warmth, inclusion, and building a strong social bond."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,8,text,ᱱᱩᱭ ᱫᱚ ᱤᱧᱤᱡ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ,Nuy do injij gate kanay – This is my friend,,,Kindness,Exploring Nature,Learning,Explore nature,"Olitun smiling warmly while pointing happily toward the learner, conveying friendship and belonging. Show only the speaking character, never show both speakers in the same frame.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","Olitun putting empathy into action, helping classmates or respecting elders."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,9,text,ᱟᱢ ᱫᱚ ᱚᱠᱟ ᱠᱷᱚᱱ ᱮᱢ ᱦᱮᱡ ᱮᱱᱟ?,Am do oka khon em hej ena? – Where did you come from?,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun sits peacefully under a large shady tree, looking out over the village with a happy smile. Show only the speaking character, never show both speakers in the same frame.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,10,text,ᱤᱧ ᱫᱚ ᱟᱹᱛᱩ ᱠᱷᱚᱱ ᱤᱧ ᱦᱮᱡ ᱮᱱᱟ,Inj do atu khon inj hej ena – I came from the village,,,Friendship,Exploring Village,Confidence,Learn something new,"a young Santhal child classmate stands beside a traditional home, pointing happily at a colorful detail on the hand-painted wall. Show only the speaking character, never show both speakers in the same frame.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","a young Santhal child classmate showing warmth, inclusion, and building a strong social bond."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,11,text,ᱱᱚᱶᱟ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?,Nowa do ced kana? – What is this?,,,Kindness,Exploring Nature,Learning,Explore nature,"Olitun kneels in a patch of wild flowers, looking at the colorful petals with curiosity. Show only the speaking character, never show both speakers in the same frame.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","Olitun putting empathy into action, helping classmates or respecting elders."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,12,text,ᱱᱚᱶᱟ ᱫᱚ ᱫᱟᱨᱮ ᱠᱟᱱᱟ,Nowa do dare kana – This is a tree,,,Curiosity,Exploring Nature,Learning,Explore nature,"Olitun planting a young green seedling in rich soil, showing care and responsibility for nature. Show only the speaking character, never show both speakers in the same frame.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,13,text,ᱟᱢ ᱫᱚ ᱪᱮᱫ ᱮᱢ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ?,Am do ced em kusiyaga? – What do you like?,,,Friendship,Exploring Village,Confidence,Learn something new,"Olitun sits peacefully under a large shady tree, looking out over the village with a happy smile. Show only the speaking character, never show both speakers in the same frame.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","Olitun showing warmth, inclusion, and building a strong social bond."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,14,text,ᱤᱧ ᱫᱚ ᱥᱟᱱᱛᱟᱲᱤ ᱨᱚᱲ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ,Inj do Santali ror inj kusiyaga – I like speaking Santali,,,Kindness,Exploring Nature,Learning,Explore nature,"a young Santhal child classmate stands beside a traditional home, pointing happily at a colorful detail on the hand-painted wall. Show only the speaking character, never show both speakers in the same frame.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","a young Santhal child classmate putting empathy into action, helping classmates or respecting elders."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,15,text,ᱟᱢ ᱫᱚ ᱠᱟᱹᱢᱤᱭᱟᱢ?,Am do kamiyam? – Do you work?,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun carefully carrying out a task, like neatly filing books or designing a wooden model. Show only the speaking character, never show both speakers in the same frame.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,16,text,"ᱦᱮᱸ, ᱤᱧ ᱫᱚ ᱠᱟᱹᱢᱤᱭᱟᱹᱧ","Hẽ, inj do kamiyanj – Yes, I work",,,Friendship,Exploring Village,Confidence,Learn something new,"a young Santhal child classmate carefully carrying out a task, like neatly filing books or designing a wooden model. Show only the speaking character, never show both speakers in the same frame.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","a young Santhal child classmate showing warmth, inclusion, and building a strong social bond."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,17,text,ᱩᱱᱤ ᱫᱚ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱭᱟ?,Uni do okare menaya? – Where is he/she?,,,Kindness,Exploring Nature,Learning,Explore nature,"Olitun sits peacefully under a large shady tree, looking out over the village with a happy smile. Show only the speaking character, never show both speakers in the same frame.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","Olitun putting empathy into action, helping classmates or respecting elders."
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,18,text,ᱩᱱᱤ ᱫᱚ ᱚᱲᱟᱜ ᱨᱮ ᱢᱮᱱᱟᱭᱟ,Uni do orag re menaya – He/she is at home,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun stands beside a traditional home, pointing happily at a colorful detail on the hand-painted wall. Show only the speaking character, never show both speakers in the same frame.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_sentences_basics,Basic Sentences,cat_sentences_1778594024495,19,text,ᱟᱢ ᱫᱚ ᱧᱮᱞᱮᱫ ᱟᱧᱟᱢ?,Am do nyeled anyam? – Do you see me?,,,Friendship,Exploring Village,Confidence,Learn something new,"Olitun kneels in a patch of wild flowers, looking at the colorful petals with curiosity. Show only the speaking character, never show both speakers in the same frame.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","Olitun showing warmth, inclusion, and building a strong social bond."
lesson_sentences_daily,Daily Sentences,cat_sentences_1778594024495,0,text,,I am hungry,,,,,,,,,
lesson_sentences_daily,Daily Sentences,cat_sentences_1778594024495,1,text,,Please eat food,,,,,,,,,
lesson_sentences_daily,Daily Sentences,cat_sentences_1778594024495,2,text,,Please drink water,,,,,,,,,
lesson_sentences_daily,Daily Sentences,cat_sentences_1778594024495,3,text,,I am studying,,,,,,,,,
lesson_sentences_daily,Daily Sentences,cat_sentences_1778594024495,4,text,,Goodbye / See you again,,,,,,,,,
lesson_greet_0,Basic Greetings,cat_phrases_1778594027629,0,text,ᱡᱚᱦᱟᱨ,Johar – Hello / Greetings,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a2264258aac001ddc6b/view?project=699495910038e39622c5,,,,,,,,
lesson_greet_0,Basic Greetings,cat_phrases_1778594027629,1,text,ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ,Sagun setag – Good morning,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22644fbac48d091d8a/view?project=699495910038e39622c5,,,,,,,,
lesson_greet_0,Basic Greetings,cat_phrases_1778594027629,2,text,ᱥᱟᱹᱜᱩᱱ ᱛᱤᱠᱤᱱ,Sagun tikin – Good afternoon,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a226467d3ab8a6cd777/view?project=699495910038e39622c5,,,,,,,,
lesson_greet_0,Basic Greetings,cat_phrases_1778594027629,3,text,ᱥᱟᱹᱜᱩᱱ ᱟᱹᱭᱩᱵ,Sagun ayub – Good evening,,,,,,,,,
lesson_greet_0,Basic Greetings,cat_phrases_1778594027629,4,text,ᱥᱟᱹᱜᱩᱱ ᱧᱤᱫᱟᱹ,Sagun njida – Good night,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a2264ef2de609004c19/view?project=699495910038e39622c5,,,,,,,,
lesson_greet_1,Meeting People,cat_phrases_1778594027629,0,text,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?,Amag njutum ced? – What is your name?,,,,,,,,,
lesson_greet_1,Meeting People,cat_phrases_1778594027629,1,text,ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ... ᱠᱟᱱᱟ,Injag njutum do ... kana – My name is ...,,,,,,,,,
lesson_greet_1,Meeting People,cat_phrases_1778594027629,2,text,ᱟᱢ ᱚᱠᱟ ᱠᱷᱚᱱᱮᱢ ᱦᱮᱡ ᱠᱟᱱᱟ?,Am oka khonem hej kana? – Where are you from?,,,,,,,,,
lesson_greet_1,Meeting People,cat_phrases_1778594027629,3,text,ᱤᱧ ᱫᱚ ... ᱠᱷᱚᱱᱤᱧ ᱦᱮᱡ ᱠᱟᱱᱟ,In do ... khoninj hej kana – I am from ...,,,,,,,,,
lesson_greet_1,Meeting People,cat_phrases_1778594027629,4,text,ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱨᱟᱹᱥᱠᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫᱟ,Am saw njapam kate raskanj bujhau keda – Nice to meet you!,,,,,,,,,
lesson_greet_2,Polite Phrases,cat_phrases_1778594027629,0,text,ᱥᱟᱨᱦᱟᱣ,Sarhaw – Thank you,,,,,,,,,
lesson_greet_2,Polite Phrases,cat_phrases_1778594027629,1,text,ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ,Ika kanj me – Excuse me / Sorry,,,,,,,,,
lesson_greet_2,Polite Phrases,cat_phrases_1778594027629,2,text,ᱦᱮᱸ,Hẽ – Yes,,,,,,,,,
lesson_greet_2,Polite Phrases,cat_phrases_1778594027629,3,text,ᱵᱟᱝ,Bang – No,,,,,,,,,
lesson_greet_2,Polite Phrases,cat_phrases_1778594027629,4,text,ᱫᱟᱭᱟ ᱠᱟᱛᱮ,Daya kate – Please,,,,,,,,,
lesson_greet_2,Polite Phrases,cat_phrases_1778594027629,5,text,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ,Adi napay – Very good / Well done,,,,,,,,,
lesson_greet_3,Farewells,cat_phrases_1778594027629,0,text,ᱡᱚᱦᱟᱨ ᱜᱮ,Johar ge – Goodbye,,,,,,,,,
lesson_greet_3,Farewells,cat_phrases_1778594027629,1,text,ᱜᱟᱯᱟ ᱵᱚᱱ ᱧᱟᱯᱟᱢᱟ,Gapa bon njapama – See you tomorrow,,,,,,,,,
lesson_greet_3,Farewells,cat_phrases_1778594027629,2,text,ᱱᱟᱯᱟᱭ ᱛᱮ ᱛᱟᱦᱮᱸᱱ ᱢᱮ,Napay te tahen me – Take care / Stay well,,,,,,,,,
lesson_greet_3,Farewells,cat_phrases_1778594027629,3,text,ᱤᱧ ᱫᱚᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ,In donj chalag kana – I am leaving now,,,,,,,,,
lesson_greet_3,Farewells,cat_phrases_1778594027629,4,text,ᱫᱩᱞᱟᱹᱲ ᱡᱚᱦᱟᱨ,Dulaar Johar – Goodbye with love,,,,,,,,,
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,0,text,ᱡᱚᱦᱟᱨ,Johar – Hello / Greetings,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225dd1aba1892c6e51/view?project=699495910038e39622c5,,Friendship,Making New Friend,Communication,Make a new friend,"Olitun walks along a winding path in the beautiful green village, pointing with curiosity toward the horizon.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","Olitun showing warmth, inclusion, and building a strong social bond."
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,1,text,ᱥᱟᱨᱦᱟᱣ,Sarhaw – Thank you,,,Friendship,Exploring Village,Confidence,Learn something new,"Olitun sits peacefully under a large shady tree, looking out over the village with a happy smile.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","Olitun showing warmth, inclusion, and building a strong social bond."
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,2,text,ᱦᱮᱸ,Hẽ – Yes,,,Kindness,Exploring Nature,Learning,Explore nature,"Olitun stands beside a traditional home, pointing happily at a colorful detail on the hand-painted wall.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","Olitun putting empathy into action, helping classmates or respecting elders."
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,3,text,ᱵᱟᱝ,Bang – No,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun kneels in a patch of wild flowers, looking at the colorful petals with curiosity.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,4,text,ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ,Sagun Daram – Welcome,,,Friendship,Making New Friend,Communication,Make a new friend,"Olitun walks along a winding path in the beautiful green village, pointing with curiosity toward the horizon.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","Olitun showing warmth, inclusion, and building a strong social bond."
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,5,text,ᱢᱟᱨᱟᱝ,Marang – Big / Great,,,Kindness,Exploring Nature,Learning,Explore nature,"Olitun sits peacefully under a large shady tree, looking out over the village with a happy smile.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","Olitun putting empathy into action, helping classmates or respecting elders."
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,6,text,ᱦᱩᱰᱤᱧ,Hudinj – Small,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun stands beside a traditional home, pointing happily at a colorful detail on the hand-painted wall.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,7,text,ᱥᱟᱹᱜᱩᱱ,Sagun – Auspicious / Good,,,Friendship,Exploring Village,Confidence,Learn something new,"Olitun kneels in a patch of wild flowers, looking at the colorful petals with curiosity.","Warm direct eye contact, relaxed shoulders, open arms in a welcoming gesture.","Olitun showing warmth, inclusion, and building a strong social bond."
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,8,text,ᱱᱟᱯᱟᱭ,Napay – Fine / Good,,,Kindness,Exploring Nature,Learning,Explore nature,"Olitun walks along a winding path in the beautiful green village, pointing with curiosity toward the horizon.","Gentle smile, soft eyes, hands offering help or gesturing politely with care.","Olitun putting empathy into action, helping classmates or respecting elders."
lesson_vocab_basics,Greetings & Basics,cat_vocab_1778594020532,9,text,ᱟᱹᱰᱤ,Adi – Very,,,Curiosity,Making New Friend,Communication,Make a new friend,"Olitun sits peacefully under a large shady tree, looking out over the village with a happy smile.","Eyes wide with wonder, body leaning forward, pointing with an inquisitive finger.",Olitun demonstrating active observation and a love for finding out new things.
